Frame:	Label:	Points:	Bounding Box ID:	Frame path: data3/ham-egg/
0	shell_egg	(14,233,20,20)	7	0.jpg
0	ham	(67,177,29,22)	12	0.jpg
0	bowl	(53,124,45,39)	17	0.jpg
0	cutting_board	(10,113,54,56)	19	0.jpg
0	knife	(31,105,29,74)	22	0.jpg
0	saltshaker	(22,165,42,50)	26	0.jpg
0	glass	(0,183,20,32)	21	0.jpg
0	frying_pan	(96,87,87,106)	14	0.jpg
0	spoon	(34,175,19,36)	27	0.jpg
1	shell_egg	(15,234,17,18)	7	1.jpg
1	ham	(66,176,30,23)	12	1.jpg
1	bowl	(53,123,47,40)	17	1.jpg
1	cutting_board	(8,113,54,55)	19	1.jpg
1	knife	(31,104,29,75)	22	1.jpg
1	saltshaker	(21,165,41,49)	26	1.jpg
1	glass	(0,182,20,33)	21	1.jpg
1	frying_pan	(95,86,87,106)	14	1.jpg
1	spoon	(33,175,19,35)	27	1.jpg
2	shell_egg	(14,234,17,19)	7	2.jpg
2	ham	(66,177,30,22)	12	2.jpg
2	bowl	(53,123,45,40)	17	2.jpg
2	cutting_board	(11,113,54,55)	19	2.jpg
2	knife	(30,104,30,74)	22	2.jpg
2	saltshaker	(23,165,42,50)	26	2.jpg
2	glass	(0,182,19,33)	21	2.jpg
2	frying_pan	(95,86,87,106)	14	2.jpg
2	spoon	(33,174,19,37)	27	2.jpg
3	shell_egg	(15,233,17,20)	7	3.jpg
3	ham	(67,177,29,22)	12	3.jpg
3	bowl	(53,124,42,37)	17	3.jpg
3	cutting_board	(10,113,53,55)	19	3.jpg
3	knife	(31,104,29,75)	22	3.jpg
3	saltshaker	(21,165,41,49)	26	3.jpg
3	glass	(0,182,20,32)	21	3.jpg
3	frying_pan	(96,86,86,106)	14	3.jpg
3	spoon	(33,175,19,35)	27	3.jpg
4	shell_egg	(14,233,17,19)	7	4.jpg
4	ham	(66,177,28,21)	12	4.jpg
4	bowl	(52,124,45,39)	17	4.jpg
4	cutting_board	(8,113,54,55)	19	4.jpg
4	knife	(30,104,29,75)	22	4.jpg
4	saltshaker	(21,165,42,50)	26	4.jpg
4	glass	(0,182,20,33)	21	4.jpg
4	frying_pan	(95,87,87,105)	14	4.jpg
4	spoon	(34,175,19,35)	27	4.jpg
5	shell_egg	(15,234,17,19)	7	5.jpg
5	ham	(68,177,28,21)	12	5.jpg
5	bowl	(52,123,48,40)	17	5.jpg
5	cutting_board	(9,113,54,56)	19	5.jpg
5	knife	(31,104,30,76)	22	5.jpg
5	saltshaker	(22,165,43,50)	26	5.jpg
5	glass	(0,183,18,30)	21	5.jpg
5	frying_pan	(95,87,87,105)	14	5.jpg
5	spoon	(33,174,19,36)	27	5.jpg
6	shell_egg	(14,233,17,20)	7	6.jpg
6	ham	(67,177,27,21)	12	6.jpg
6	bowl	(53,123,45,39)	17	6.jpg
6	cutting_board	(8,113,54,55)	19	6.jpg
6	knife	(30,104,29,75)	22	6.jpg
6	saltshaker	(21,165,43,50)	26	6.jpg
6	glass	(0,182,20,32)	21	6.jpg
6	frying_pan	(95,86,87,106)	14	6.jpg
6	spoon	(34,174,19,36)	27	6.jpg
7	shell_egg	(15,233,17,20)	7	7.jpg
7	ham	(67,177,28,21)	12	7.jpg
7	bowl	(53,124,42,37)	17	7.jpg
