Frame:	Label:	Points:	Bounding Box ID:	Frame path: data2/kinshi-egg/
0	shell_egg	(78,226,17,19)	7	0.jpg
0	bowl	(61,110,43,40)	17	0.jpg
0	frying_pan	(100,90,80,99)	14	0.jpg
0	knife	(39,103,23,67)	22	0.jpg
0	cutting_board	(17,116,51,55)	19	0.jpg
0	oil_bottle	(1,147,29,48)	24	0.jpg
1	shell_egg	(78,226,16,18)	7	1.jpg
1	bowl	(60,110,43,40)	17	1.jpg
1	frying_pan	(99,89,80,99)	14	1.jpg
1	knife	(38,102,23,67)	22	1.jpg
1	cutting_board	(18,116,51,55)	19	1.jpg
1	oil_bottle	(0,146,29,48)	24	1.jpg
2	shell_egg	(78,225,17,20)	7	2.jpg
2	bowl	(61,110,43,40)	17	2.jpg
2	frying_pan	(99,89,80,99)	14	2.jpg
2	knife	(39,103,22,65)	22	2.jpg
2	cutting_board	(17,116,51,55)	19	2.jpg
2	oil_bottle	(0,147,28,46)	24	2.jpg
3	shell_egg	(77,225,17,20)	7	3.jpg
3	bowl	(60,108,46,43)	17	3.jpg
3	frying_pan	(99,89,80,99)	14	3.jpg
3	knife	(38,103,23,66)	22	3.jpg
3	cutting_board	(18,115,51,56)	19	3.jpg
3	oil_bottle	(2,148,28,46)	24	3.jpg
4	shell_egg	(77,225,17,20)	7	4.jpg
4	bowl	(61,110,43,40)	17	4.jpg
4	frying_pan	(99,89,80,99)	14	4.jpg
4	knife	(39,102,24,69)	22	4.jpg
4	cutting_board	(15,115,51,55)	19	4.jpg
4	oil_bottle	(1,147,29,48)	24	4.jpg
5	shell_egg	(78,225,17,20)	7	5.jpg
5	bowl	(60,108,46,43)	17	5.jpg
5	frying_pan	(100,89,80,100)	14	5.jpg
5	knife	(38,102,23,68)	22	5.jpg
5	cutting_board	(17,115,51,55)	19	5.jpg
5	oil_bottle	(0,147,30,48)	24	5.jpg
6	shell_egg	(76,225,19,20)	7	6.jpg
6	bowl	(58,108,46,43)	17	6.jpg
6	frying_pan	(98,90,79,98)	14	6.jpg
6	knife	(39,102,24,69)	22	6.jpg
6	cutting_board	(18,115,51,56)	19	6.jpg
6	oil_bottle	(0,148,28,45)	24	6.jpg
7	shell_egg	(77,225,18,20)	7	7.jpg
7	bowl	(60,108,46,43)	17	7.jpg
7	frying_pan	(102,90,79,98)	14	7.jpg
7	knife	(38,103,23,67)	22	7.jpg
7	cutting_board	(17,115,51,55)	19	7.jpg
7	oil_bottle	(2,147,28,47)	24	7.jpg
8	shell_egg	(76,225,19,20)	7	8.jpg
8	bowl	(61,109,43,41)	17	8.jpg
8	frying_pan	(100,90,77,95)	14	8.jpg
8	knife	(39,102,24,70)	22	8.jpg
8	cutting_board	(18,115,51,56)	19	8.jpg
8	oil_bottle	(0,146,29,48)	24	8.jpg
9	shell_egg	(77,225,19,20)	7	9.jpg
9	bowl	(61,109,43,41)	17	9.jpg
9	frying_pan	(101,90,78,97)	14	9.jpg
9	knife	(38,102,23,68)	22	9.jpg
9	cutting_board	(15,115,52,56)	19	9.jpg
9	oil_bottle	(0,147,29,48)	24	9.jpg
10	shell_egg	(76,224,20,22)	7	10.jpg
10	bowl	(61,111,40,37)	17	10.jpg
10	frying_pan	(100,90,79,98)	14	10.jpg
10	knife	(39,102,24,69)	22	10.jpg
10	cutting_board	(18,117,49,53)	19	10.jpg
10	oil_bottle	(0,147,30,48)	24	10.jpg
11	shell_egg	(76,224,20,22)	7	11.jpg
11	bowl	(60,110,43,40)	17	11.jpg
11	frying_pan	(98,90,79,98)	14	11.jpg
11	knife	(38,102,23,68)	22	11.jpg
11	cutting_board	(17,116,50,54)	19	11.jpg
11	oil_bottle	(0,147,30,48)	24	11.jpg
12	shell_egg	(77,224,19,21)	7	12.jpg
12	bowl	(61,110,43,40)	17	12.jpg
12	frying_pan	(102,90,79,98)	14	12.jpg
12	knife	(39,102,24,70)	22	12.jpg
12	cutting_board	(18,116,51,55)	19	12.jpg
12	oil_bottle	(1,147,29,48)	24	12.jpg
13	shell_egg	(76,224,19,22)	7	13.jpg
13	bowl	(60,108,46,43)	17	13.jpg
13	frying_pan	(100,90,77,95)	14	13.jpg
13	knife	(38,102,23,68)	22	13.jpg
13	cutting_board	(17,116,51,54)	19	13.jpg
13	oil_bottle	(1,147,29,48)	24	13.jpg
14	shell_egg	(77,224,19,21)	7	14.jpg
14	bowl	(58,108,46,43)	17	14.jpg
14	frying_pan	(100,90,79,97)	14	14.jpg
14	knife	(39,102,24,70)	22	14.jpg
14	cutting_board	(16,116,50,54)	19	14.jpg
14	oil_bottle	(0,147,30,48)	24	14.jpg
15	shell_egg	(76,224,19,22)	7	15.jpg
15	bowl	(60,109,44,41)	17	15.jpg
15	frying_pan	(98,90,79,97)	14	15.jpg
15	knife	(38,103,23,67)	22	15.jpg
15	cutting_board	(18,115,51,56)	19	15.jpg
15	oil_bottle	(1,147,29,48)	24	15.jpg
16	shell_egg	(76,224,20,22)	7	16.jpg
16	bowl	(60,108,46,43)	17	16.jpg
16	frying_pan	(100,90,79,98)	14	16.jpg
16	knife	(39,102,24,70)	22	16.jpg
16	cutting_board	(16,116,49,52)	19	16.jpg
16	oil_bottle	(0,147,28,47)	24	16.jpg
17	shell_egg	(77,224,19,22)	7	17.jpg
17	bowl	(58,108,46,43)	17	17.jpg
17	frying_pan	(98,90,79,97)	14	17.jpg
17	knife	(38,102,23,68)	22	17.jpg
17	cutting_board	(18,116,50,55)	19	17.jpg
17	oil_bottle	(2,147,28,47)	24	17.jpg
18	shell_egg	(76,224,19,22)	7	18.jpg
18	bowl	(60,108,46,43)	17	18.jpg
18	frying_pan	(102,90,79,98)	14	18.jpg
18	knife	(39,102,23,68)	22	18.jpg
18	cutting_board	(17,116,51,54)	19	18.jpg
18	oil_bottle	(0,146,29,48)	24	18.jpg
19	shell_egg	(77,224,19,21)	7	19.jpg
19	bowl	(58,108,46,42)	17	19.jpg
19	frying_pan	(100,90,77,95)	14	19.jpg
19	knife	(38,103,23,65)	22	19.jpg
19	cutting_board	(18,116,51,55)	19	19.jpg
19	oil_bottle	(0,146,29,48)	24	19.jpg
20	shell_egg	(76,224,19,21)	7	20.jpg
20	bowl	(60,108,46,43)	17	20.jpg
20	frying_pan	(100,90,79,97)	14	20.jpg
20	knife	(39,103,22,66)	22	20.jpg
20	cutting_board	(17,116,51,54)	19	20.jpg
20	oil_bottle	(0,146,29,48)	24	20.jpg
21	shell_egg	(77,225,19,20)	7	21.jpg
21	bowl	(58,108,46,42)	17	21.jpg
21	frying_pan	(98,90,79,97)	14	21.jpg
21	knife	(38,103,23,67)	22	21.jpg
21	cutting_board	(17,116,51,54)	19	21.jpg
21	oil_bottle	(0,146,29,48)	24	21.jpg
22	shell_egg	(77,225,18,20)	7	22.jpg
22	bowl	(60,108,46,43)	17	22.jpg
22	frying_pan	(100,90,79,98)	14	22.jpg
22	knife	(38,103,23,67)	22	22.jpg
22	cutting_board	(16,116,50,54)	19	22.jpg
22	oil_bottle	(1,146,30,49)	24	22.jpg
23	shell_egg	(77,226,18,19)	7	23.jpg
23	bowl	(58,108,46,43)	17	23.jpg
23	frying_pan	(100,90,79,98)	14	23.jpg
23	knife	(39,103,23,67)	22	23.jpg
