Frame	Subject	Relation	Object
0	knife	on	cutting_board
1	knife	on	cutting_board
2	knife	on	cutting_board
3	knife	on	cutting_board
4	knife	on	cutting_board
5	knife	on	cutting_board
6	knife	on	cutting_board
7	knife	on	cutting_board
8	knife	on	cutting_board
9	knife	on	cutting_board
10	knife	on	cutting_board
11	knife	on	cutting_board
12	knife	on	cutting_board
13	knife	on	cutting_board
14	knife	on	cutting_board
15	knife	on	cutting_board
16	knife	on	cutting_board
17	knife	on	cutting_board
18	knife	on	cutting_board
19	knife	on	cutting_board
20	knife	on	cutting_board
21	knife	on	cutting_board
22	knife	on	cutting_board
23	knife	on	cutting_board
24	knife	on	cutting_board
25	knife	on	cutting_board
26	knife	on	cutting_board
27	knife	on	cutting_board
28	knife	on	cutting_board
29	knife	on	cutting_board
30	knife	on	cutting_board
31	knife	on	cutting_board
32	knife	on	cutting_board
33	knife	on	cutting_board
34	knife	on	cutting_board
35	knife	on	cutting_board
36	knife	on	cutting_board
37	knife	on	cutting_board
38	knife	on	cutting_board
39	knife	on	cutting_board
40	knife	on	cutting_board
41	knife	on	cutting_board
42	knife	on	cutting_board
43	knife	on	cutting_board
44	knife	on	cutting_board
45	knife	on	cutting_board
46	knife	on	cutting_board
47	knife	on	cutting_board
48	knife	on	cutting_board
49	knife	on	cutting_board
50	knife	on	cutting_board
51	knife	on	cutting_board
52	knife	on	cutting_board
53	knife	on	cutting_board
54	knife	on	cutting_board
55	knife	on	cutting_board
56	knife	on	cutting_board
57	knife	on	cutting_board
58	knife	on	cutting_board
59	knife	on	cutting_board
60	knife	on	cutting_board
61	knife	on	cutting_board
62	knife	on	cutting_board
63	knife	on	cutting_board
64	knife	on	cutting_board
65	knife	on	cutting_board
66	knife	on	cutting_board
67	knife	on	cutting_board
68	knife	on	cutting_board
69	knife	on	cutting_board
70	knife	on	cutting_board
71	knife	on	cutting_board
72	knife	on	cutting_board
73	knife	on	cutting_board
74	knife	on	cutting_board
75	knife	on	cutting_board
76	knife	on	cutting_board
77	knife	on	cutting_board
78	knife	on	cutting_board
79	knife	on	cutting_board
80	knife	on	cutting_board
81	knife	on	cutting_board
82	knife	on	cutting_board
83	knife	on	cutting_board
84	knife	on	cutting_board
85	knife	on	cutting_board
86	knife	on	cutting_board
87	knife	on	cutting_board
88	knife	on	cutting_board
89	knife	on	cutting_board
90	knife	on	cutting_board
91	knife	on	cutting_board
92	knife	on	cutting_board
93	knife	on	cutting_board
94	knife	on	cutting_board
95	knife	on	cutting_board
96	knife	on	cutting_board
97	knife	on	cutting_board
98	knife	on	cutting_board
99	knife	on	cutting_board
100	knife	on	cutting_board
101	knife	on	cutting_board
102	knife	on	cutting_board
103	knife	on	cutting_board
104	knife	on	cutting_board
105	knife	on	cutting_board
106	knife	on	cutting_board
107	knife	on	cutting_board
108	knife	on	cutting_board
109	knife	on	cutting_board
110	knife	on	cutting_board
111	knife	on	cutting_board
112	knife	on	cutting_board
